anon_id,label,split,duration_s
call_312805f2b67f,synthetic,train,132
call_3332ecee2806,human,train,140
call_349b9fddaff0,human,train,147
call_34f4c668dbe8,human,train,223
call_35966c559fcc,human,train,99
call_36640e327eaf,human,train,159
call_36d72e4b1aef,synthetic,val,142
call_373750027ccd,synthetic,train,149
call_374f870c8124,synthetic,train,116
call_37e63dcc8185,synthetic,train,143
call_387c5493a07f,synthetic,train,165
call_39880aff21ed,synthetic,train,192
call_3adbf4ac0f30,human,train,167
call_3b1bf9fab29d,human,train,123
call_3b9afdd4a2df,human,val,156
call_3ca96b2dd5c4,human,train,212
call_3cd08cbaf55c,synthetic,train,139
call_3d69be34ef44,human,train,146
call_3f3ac4984431,human,train,175
call_415d987a1504,synthetic,train,124
call_41fc5fd779c9,synthetic,train,77
call_450b4e13468b,synthetic,train,142
call_4789ebd9b148,synthetic,train,134
call_47bef2f628eb,human,val,146
call_486215b37ca1,human,train,140
call_488e7b893457,human,train,155
call_4ac92327c83b,human,train,152
call_4affad158a4c,synthetic,val,165
call_4b1bec58d02d,synthetic,train,213
call_4baef170cf46,human,train,151
call_4c278007298d,human,train,130
call_4c8c40f7c2fd,human,train,154
call_4cd5b14fbe3c,synthetic,train,141
call_4d8129939686,synthetic,train,151
call_4e60206f7e8a,human,train,100
call_4e9cec0da4ea,synthetic,train,136
call_4f0dad5104b3,human,train,152
call_51851f91f064,human,train,132
call_5273f6be303c,human,train,164
call_52ba7c3bd761,synthetic,train,146
call_52bfee0220ab,synthetic,train,164
call_54a09817b7e2,synthetic,train,124
call_565b6523733e,human,train,124
call_568b5e814bc3,human,train,154
call_569ffb0869eb,human,val,134
call_56f58de34ea0,synthetic,train,159
call_578504f9f39e,synthetic,train,148
call_57f113803718,human,train,173
call_5823cd70919d,synthetic,train,146
call_58a0f7394bc3,synthetic,train,150
call_58ed2170e352,human,val,133
call_5a6307557d57,human,train,144
call_5a7a7e3c9588,synthetic,train,145
call_5c9d19646f57,human,train,65
call_5d86f0ca06aa,synthetic,train,129
call_5e4539a471f6,synthetic,val,96
call_5f7a4b3e8ca9,human,train,112
call_6058d9c5c82f,synthetic,val,153
call_60ffdefc5f5a,human,train,211
call_624a4731ab56,human,train,183
call_63a156c6b8d9,human,train,122
call_64637c20ee66,human,val,146
call_65a7cdefc22d,human,train,132
call_6756c4a91509,synthetic,train,184
call_678ee1dd2242,human,val,166
call_68544c09a58b,synthetic,train,159
call_6971b2685c1d,human,val,98
call_6afd8cabf618,synthetic,train,152
call_6b0cc9c966a1,human,train,153
call_6b31fbd81fc3,synthetic,train,162
call_6b6499e4474f,synthetic,train,139
call_6c8d4490f8d7,synthetic,val,129
call_6d88a2e95795,human,train,154
call_6dfa70c50ea5,synthetic,train,132
call_6e83cb807322,human,train,165
call_70101b573bb2,synthetic,train,163
call_70de89818ee5,synthetic,train,170
call_716d56beca2a,human,train,211
call_71fec5a6b017,synthetic,train,101
call_743448b8a861,synthetic,val,103
call_74b20933dd43,human,val,148
call_750153d8eb40,human,train,140
call_7519d635bbbb,synthetic,train,150
call_7601ac7d4fbf,synthetic,train,143
call_76856257e3ef,synthetic,train,61
call_7744ab92baa3,human,train,179
call_794031bf2233,synthetic,train,156
call_7a250598cb8b,synthetic,train,153
call_7a345e2b0f37,synthetic,train,131
call_7ae75e4aa32f,synthetic,train,243
call_7b14e69a57bd,synthetic,train,81
call_7b1e73c133f8,synthetic,val,124
call_7d4f3b80384e,synthetic,train,131
call_7d5b26105bb5,synthetic,train,129
call_7f82debeb19b,human,train,127
call_802282383eb2,synthetic,train,154
call_810c24005ecc,synthetic,val,112
call_810e3066a7b4,synthetic,val,131
call_81b12145be34,synthetic,train,132
call_81b98c77cf99,human,train,169
call_850d796d23a7,synthetic,train,138
call_8570ae0e7d61,synthetic,train,168
call_8834a90f11cd,human,train,128
call_8893de2fe204,synthetic,train,176
call_88cd54e1e505,synthetic,train,131
call_88d7858b7921,synthetic,train,142
call_893d552b156a,human,train,153
call_8a3996f823e4,human,train,136
call_8a570a10920b,synthetic,train,183
call_8a61615c9927,human,train,174
call_8a9391c1823b,human,train,134
call_8ade6f74aa33,synthetic,train,142
call_8ae3fce602f3,synthetic,train,160
call_8c2ebe3761bb,synthetic,train,131
call_8c6b33721067,synthetic,train,151
call_8cafd2754e55,synthetic,val,176
call_8d3ea77f4bb4,synthetic,train,136
call_8d6cd93e02b8,human,train,141
call_8d75a71e6126,synthetic,val,164
call_8da8b9947630,human,val,185
call_8e6c9fa78a21,synthetic,train,129
call_8ed994ce484f,synthetic,train,167
call_8ee1e10130a2,synthetic,train,127
call_8f8e2145bc91,synthetic,train,120
call_9083846f078a,synthetic,train,144
call_91a25cd95998,synthetic,train,133
call_924e8a27e4de,human,train,150
call_925ba94f05a4,synthetic,val,234
call_927c1f5f2007,synthetic,train,172
call_9491f635b944,synthetic,train,153
call_94a8c8502249,human,train,168
call_957a8384caff,synthetic,val,149
call_95ccefc6e4ce,human,val,226
call_9741efdd34af,human,train,135
call_97701e543c60,synthetic,train,142
call_989dad5aa1af,human,train,126
call_9a3d5b0a64a3,human,val,215
call_9bb847dfc83e,human,val,123
call_9c2dbbd1fe2e,synthetic,train,141
call_9dc1a304389f,synthetic,train,152
call_9f11e2c5441c,human,val,128
call_a0fbbe7bfec4,human,train,158
call_a2aa58c1750b,human,train,137
call_a381913d938c,synthetic,train,111
call_a3a1f51a4bf9,synthetic,val,129
call_a426226cf8b9,synthetic,train,139
call_a4683528fef4,human,train,165
call_a49598543013,synthetic,train,181
call_a6481017c744,synthetic,train,123
call_a71916766a4f,synthetic,train,136
call_a766613f8c8a,human,train,93
call_a7c95e99f3b6,human,val,123
call_a7df1d46e72b,synthetic,train,173
call_a7ea289a43fd,synthetic,train,168
call_a8ca5b456ce4,synthetic,train,163
call_a9d29125d786,synthetic,train,100
call_abf730747901,human,val,119
call_ac80248cae29,synthetic,train,146
call_acda78859d0d,human,train,148
call_ad8e23b11d98,synthetic,train,116
call_adf30039caa2,synthetic,train,116
call_aed9b45d6c31,synthetic,train,128
call_af9ad367dcce,synthetic,val,142
call_b0836ff3142a,synthetic,train,155
call_b167dd907a80,synthetic,train,160
call_b2594d9c3ffd,synthetic,train,185
call_b382ffa5187d,human,train,126
call_b3f14bd5c2b6,synthetic,train,126
call_b41c86402714,human,train,141
call_b5840ec7dd5e,synthetic,train,136
call_b5c4803ea37c,human,train,114
call_b5cc1f8d8fee,human,val,160
call_b658b1155216,human,val,189
call_b712f501aeb8,synthetic,val,206
call_b72eccd91b8c,synthetic,train,156
call_b78e6c8e05d3,human,train,133
call_b7c3a7552903,synthetic,train,160
call_b956718b62ae,synthetic,train,130
call_b96e9305d9a2,human,train,137
call_bac44092a11a,human,train,165
call_bba20372ca37,synthetic,train,149
call_bc24a38d8bf2,synthetic,train,112
call_bc2c7c34acea,human,val,192
call_bc7120020303,human,train,157
call_bd2262567810,human,train,273
call_bd98a8224da0,human,val,151
call_bda847d77eef,human,train,143
call_bdfa814252df,synthetic,train,158
call_be72006df132,human,val,130
call_bf0384ed27ed,human,val,166
call_bf4ed1a05c84,human,train,149
call_c04725672945,synthetic,val,183
call_c1cbe639d50f,synthetic,train,91
call_c1d95df7a179,synthetic,train,110
call_c21f9cf2390e,synthetic,val,153
call_c337629bcbbb,human,train,151
call_c3417b995627,synthetic,train,126
call_c3a3ab5fa472,synthetic,train,202
call_c3e9e24958f7,synthetic,train,209
call_c49b6face6c3,synthetic,val,122
call_c4fc8a865292,human,val,177
call_c509bc8280ae,human,train,140
call_c5b04c36bb62,synthetic,train,138
call_c647ee088162,human,train,137
call_c67ce09b3316,synthetic,train,142
call_c6daaae3eb0f,human,train,109
call_c6e878157063,human,train,150
call_c87e905eb0d7,synthetic,train,129
call_ca184bb77a63,human,val,122
call_ca5206a4f854,synthetic,train,127
call_cbad95f3aabc,synthetic,train,115
call_cbb902adb22a,human,train,168
call_ce3072c8e106,synthetic,train,131
call_ce6146a1c53e,synthetic,train,174
call_cea74e96e420,synthetic,train,129
call_cf313f91b995,human,val,119
call_d0442c9e97b7,synthetic,train,198
call_d13864e1e455,synthetic,train,158
call_d13e6463c6fb,human,train,148
call_d147a02786d2,synthetic,train,153
call_d17b2416d506,synthetic,train,151
call_d38f7d5159e7,human,train,112
call_d3e854cbb77d,human,train,150
call_d437831f4543,synthetic,train,136
call_d4518fcb700a,synthetic,val,144
call_d557fa43925b,human,train,143
call_d5d00276dd35,human,train,152
call_d60330be1b1f,human,val,170
call_d72a7cb67eb0,human,train,169
call_d80d9f6f7884,human,train,134
call_d88d3c23953c,synthetic,val,167
call_d88d8e15e430,synthetic,train,173
call_d89caa393417,synthetic,train,95
call_d9b9c625f406,synthetic,train,160
call_db5326bcb672,human,train,196
call_dc1a55102190,human,val,160
call_dcdbcc7d70e4,synthetic,train,163
call_ddeabfdb99d4,human,train,147
call_ddf2da1910f1,human,train,98
call_df3e278ab7fe,synthetic,train,130
call_df75973c8794,synthetic,train,169
call_e0a8703be347,synthetic,train,147
call_e0c1f661d9ca,human,train,129
call_e106a61086bb,synthetic,train,170
call_e118b75d4937,human,train,150
call_e2200941723b,synthetic,train,108
call_e2d538297f0c,human,val,206
call_e3064936e37a,synthetic,train,118
call_e3084824935d,synthetic,train,141
call_e31bf946a8fa,human,train,149
call_e329faf2b6a1,synthetic,val,153
call_e3f555297277,synthetic,val,125
call_e4d9c2e0947a,human,train,118
call_e58669998b76,human,val,125
call_e618b7b1fa5b,human,train,133
call_e697765a4dfd,synthetic,train,154
call_e69e8ba551e4,human,train,154
call_e6c59d28e6d7,synthetic,train,119
call_e9bd33cdb226,human,val,143
call_eb1c9a5a2c08,human,train,145
call_ec545493459e,synthetic,train,148
call_ec58505fc522,human,train,134
call_ed020e30c242,synthetic,train,79
call_ed041799aed9,human,train,156
call_ed99e3ea3f0e,synthetic,train,160
call_ee227bc9d7ac,human,train,196
call_eed2c7389776,synthetic,val,184
call_f003741555a1,human,train,127
call_f0ad1cf1aa6a,synthetic,train,128
call_f1372119b403,synthetic,train,241
call_f1b82a4a46f6,human,val,134
call_f202d4ff9f96,human,train,146
call_f23bfe7d0e9e,synthetic,train,149
call_f27db4ab1f5a,synthetic,train,87
call_f2ab1c408b36,synthetic,train,116
call_f331303c4fb8,human,train,127
call_f5251fb3b1d9,synthetic,train,132
call_f68d3459fdc7,synthetic,train,180
call_f6ce5de7ac09,synthetic,val,159
call_f9fbabf70f7e,synthetic,val,104
call_fa26d1186721,human,val,125
call_fa4d7f2897f4,human,train,209
call_fa9e18dd83dd,synthetic,val,141
call_fb1405943fed,human,val,178
call_fc8bda4b3374,synthetic,val,193
call_fce92bad5095,human,train,185
call_fdc3a7dac09f,synthetic,train,153
call_fdc44f969ade,synthetic,train,167
call_fe828697f60d,synthetic,train,142
call_fe8e4fc3ef69,synthetic,train,188
call_feaca5a8cd14,synthetic,train,212
call_ff4042587962,synthetic,train,76
call_fff8cae57de7,human,train,160
